Filename,FolderPath,segFile,segThresh,segIteration,segContract,segSmooth,resFile,requiresManual,manualCheck,IgnoreFrames,useLogP,logPk,logPs,invertSeries,InvertManual
121 - beating003.nd2 (series 1).tif,../InputFiles,121 - beating003.nd2 (series 1).mat,0.46,10,0.4,0.2,,FALSE,FALSE,[14],FALSE,,,FALSE,FALSE
61 - dyn1-20002 (copy).nd2 (series 1).tif,../InputFiles,61 - dyn1-20002 (copy).nd2 (series 1).mat,0.46,10,0.4,0.2,,FALSE,FALSE,[17],FALSE,,,FALSE,FALSE
